,Date,Region,Confirmed,Deaths,Recovered
353,02/07/2020,Spain,1,0,0
354,02/07/2020,Sri Lanka,1,0,0
355,02/07/2020,Sweden,1,0,0
356,02/07/2020,Taiwan,16,0,1
357,02/07/2020,Thailand,25,0,5
358,02/07/2020,UK,3,0,0
359,02/07/2020,US,12,0,0
360,02/07/2020,United Arab Emirates,5,0,0
361,02/07/2020,Vietnam,10,0,1
362,02/08/2020,Australia,15,0,2
363,02/08/2020,Belgium,1,0,0
364,02/08/2020,Cambodia,1,0,0
365,02/08/2020,Canada,7,0,0
366,02/08/2020,Finland,1,0,0
367,02/08/2020,France,11,0,0
368,02/08/2020,Germany,13,0,0
369,02/08/2020,Hong Kong,26,1,0
370,02/08/2020,India,3,0,0
371,02/08/2020,Italy,3,0,0
372,02/08/2020,Japan,25,0,1
373,02/08/2020,Macau,10,0,1
374,02/08/2020,Mainland China,36778,804,2595
375,02/08/2020,Malaysia,16,0,1
376,02/08/2020,Nepal,1,0,0
377,02/08/2020,Others,61,0,0
378,02/08/2020,Philippines,3,1,0
379,02/08/2020,Russia,2,0,0
380,02/08/2020,Singapore,33,0,2
381,02/08/2020,South Korea,24,0,1
382,02/08/2020,Spain,1,0,0
383,02/08/2020,Sri Lanka,1,0,1
384,02/08/2020,Sweden,1,0,0
385,02/08/2020,Taiwan,17,0,1
386,02/08/2020,Thailand,32,0,10
387,02/08/2020,UK,3,0,0
388,02/08/2020,US,12,0,0
389,02/08/2020,United Arab Emirates,7,0,0
390,02/08/2020,Vietnam,13,0,1
391,02/09/2020,Australia,15,0,2
392,02/09/2020,Belgium,1,0,0
393,02/09/2020,Cambodia,1,0,0
394,02/09/2020,Canada,7,0,0
395,02/09/2020,Finland,1,0,0
396,02/09/2020,France,11,0,0
397,02/09/2020,Germany,14,0,0
398,02/09/2020,Hong Kong,29,1,0
399,02/09/2020,India,3,0,0
400,02/09/2020,Italy,3,0,0
401,02/09/2020,Japan,26,0,1
402,02/09/2020,Macau,10,0,1
403,02/09/2020,Mainland China,39790,904,3218
404,02/09/2020,Malaysia,16,0,1
405,02/09/2020,Nepal,1,0,0
406,02/09/2020,Others,64,0,0
407,02/09/2020,Philippines,3,1,0
408,02/09/2020,Russia,2,0,0
409,02/09/2020,Singapore,40,0,2
410,02/09/2020,South Korea,25,0,3
411,02/09/2020,Spain,2,0,0
412,02/09/2020,Sri Lanka,1,0,1
413,02/09/2020,Sweden,1,0,0
414,02/09/2020,Taiwan,18,0,1
415,02/09/2020,Thailand,32,0,10
416,02/09/2020,UK,3,0,0
417,02/09/2020,US,12,0,3
418,02/09/2020,United Arab Emirates,7,0,0
419,02/09/2020,Vietnam,13,0,1
420,02/10/2020,Australia,15,0,2
421,02/10/2020,Belgium,1,0,0
422,02/10/2020,Cambodia,1,0,0
423,02/10/2020,Canada,7,0,0
424,02/10/2020,Finland,1,0,0
425,02/10/2020,France,11,0,0
426,02/10/2020,Germany,14,0,0
427,02/10/2020,Hong Kong,38,1,0
428,02/10/2020,India,3,0,0
429,02/10/2020,Italy,3,0,0
430,02/10/2020,Japan,26,0,4
431,02/10/2020,Macau,10,0,1
432,02/10/2020,Mainland China,42306,1011,3917
433,02/10/2020,Malaysia,18,0,1
434,02/10/2020,Nepal,1,0,0
435,02/10/2020,Others,135,0,0
436,02/10/2020,Philippines,3,1,0
437,02/10/2020,Russia,2,0,0
438,02/10/2020,Singapore,45,0,2
439,02/10/2020,South Korea,27,0,3
440,02/10/2020,Spain,2,0,0
441,02/10/2020,Sri Lanka,1,0,1
